Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Прокопович,Сніжана,Олександрівна,Жінка,2005-11-25,Фізик,місто Яворів,"сквер Сінна, буд. 3 кв. 924, Пустомити, 10005",+380 (89) 712-71-48,kolodubartem@example.org
Орлик,Ліза,Федорівна,Жінка,1961-10-06,Шериф,місто Хрестівка,"проспект Друга, буд. 66 кв. 2, Куп'янськ, 21623",+380 99 764 19 67,acherednyk@example.com
Фурс,Христина,Вікторівна,Жінка,2000-03-07,Стиліст,місто Шостка,"шосе Літакова, буд. 55, Світлодарськ, 88361",+380 (58) 824-74-85,martyn37@example.org
Даньків,Вікторія,Михайлівна,Жінка,2002-04-22,Державний службовець,село Устилуг,"сквер Локомотивний 2-й, буд. 09 кв. 6, Запоріжжя, 20875",249 39 43,vstets@example.net
Жученко,Михайлина,Павлівна,Жінка,1963-01-01,Скульптор,селище Кролевець,"проспект Десятого квітня, буд. 72 кв. 45, Новоселиця, 64626",+380 52 705-78-45,adabatih@example.org
Ванченко,Святослава,Романівна,Жінка,2001-03-02,Клавішник,хутір Ужгород,"проспект Магнітогорський, буд. 94 кв. 092, Могилів-Подільський, 92043",018 706-20-30,lubenetskamilla@example.net
Цюпа,Оксана,Олександрівна,Жінка,2002-07-26,Дизайнер,місто Тетіїв,"парк Депутатський, буд. 92 кв. 8, Харків, 61466",518 25 47,bohdanolifirenko@example.org
Вернидуб,Марта,Максимівна,Жінка,1955-07-22,М'ясник,село Сорокине,"шосе Деволанівська, буд. 4 кв. 682, Лебедин, 68313",+380 21 351 54 95,nestaikoserhii@example.org
Гайдамака,Емілія,Михайлівна,Жінка,2005-07-08,Бухгалтер,місто Житомир,"проспект Дюківський сад, буд. 82 кв. 01, Львів, 58859",085 952-18-14,artiushenkoheorhii@example.com
Базилевська,Святослава,Сергіївна,Жінка,1940-06-21,Редактор,селище Олевськ,"набережна Університетський, буд. 603 кв. 62, Долина , 18663",193 06 96,znosachenko@example.net
Литвин,Лілія,Олегівна,Жінка,2006-12-31,Епідеміолог,хутір Підгородне,"узвіз Південна, буд. 06 кв. 99, Соледар, 72095",097 315 33 00,ahodunok@example.net
Приходько,Віра,Миколаївна,Жінка,1977-01-01,Електромонтажник,хутір Борислав,"сквер Черепанових 2-й, буд. 50, Добромиль, 23036",018 211 69 71,suprunenkoonysym@example.com
Ісаєнко,Людмила,Павлівна,Жінка,1979-07-14,Бухгалтер,село Тернівка ,"сквер Італійський, буд. 6 кв. 2, Остер , 52703",804 76 29,havryshrostyslav@example.net
Затовканюк,Святослава,Вікторівна,Жінка,1956-03-13,Слідчий,село Луцьк,"площа Ширшова, буд. 937 кв. 48, Токмак, 32008",+380 48 933-63-13,sholyk@example.com
Цибуленко,Людмила,Григоріївна,Жінка,1993-03-04,Різноробочий,село Голубівка,"набережна Плієва, буд. 4, Вінниця, 68347",762 22 22,emiliiafranchuk@example.org
Демʼянчук,Розалія,Тарасівна,Жінка,1978-11-29,Електромонтер,хутір Таврійськ,"площа Дюківський сад, буд. 961, Новоселиця, 35471",+380 76 840 97 34,marianabazylevych@example.org
Дахно,Аліна,Дмитрівна,Жінка,1960-03-20,Кушнір,село Біляївка,"шосе Пушкінська, буд. 388 кв. 99, Вінниця, 68927",+380 87 074 86 45,stefan43@example.org
Василашко,Ірена,Михайлівна,Жінка,1940-02-26,Футболіст,місто Дубляни,"парк Данила Крижанівського, буд. 1 кв. 668, Монастириська, 11772",+380 71 228-69-11,snizhana00@example.org
Гайдабура,Маруся,Павлівна,Жінка,1994-01-14,Драматург,село Хрестівка,"парк Ковалевського, буд. 981, Кагарлик, 80827",011 277-57-24,hshtokalo@example.org
Тесля,Тетяна,Богданівна,Жінка,1968-06-09,Бібліограф,село Верхівцеве,"шосе Олександра Кутузакія, буд. 318, Новоазовськ, 67354",689 15 22,rubanorysia@example.org
Колесниченко,Марія,Іванівна,Жінка,1938-10-19,Фізик,селище Дубляни,"шосе Краснослобідська, буд. 7, Моршин, 81939",651 51 14,bhrytsenko@example.com
Валенко,Альбіна,Максимівна,Жінка,1968-03-12,Науковець,селище Южноукраїнськ,"узвіз Посівна, буд. 6 кв. 938, Гайсин, 55036",+380 (68) 844-81-37,wlysenko@example.com
Гайдамака,Любов,Григоріївна,Жінка,1966-09-11,Клоун,село Нетішин,"парк Проточний, буд. 34, Буськ, 87625",913-48-76,bohuslavhaidai@example.com
Матяш,Анастасія,Федорівна,Жінка,1944-07-30,Медик,село Тячів,"набережна Нафтовиків 2-й, буд. 47 кв. 6, Лиман , 25042",471 98 68,bevzenkomyron@example.net
Рудько,Мілена,Андріївна,Жінка,1978-08-14,Медик,селище Тячів,"шосе Різдвяна, буд. 692 кв. 5, Карлівка, 22115",+380 22 469-20-16,driabchenko@example.net
Ґжицький,Софія,Дмитрівна,Жінка,1975-02-24,Реставратор,селище Славутич,"шосе Разумовська, буд. 48 кв. 2, Часів Яр, 72997",244-80-38,iaremenkozakhar@example.net
Медведенко,Ярина,Вікторівна,Жінка,1999-04-22,Дизайнер,хутір Тиврів,"узвіз Платанова, буд. 4 кв. 4, Ізяслав, 62532",092 356-13-37,valentynvitruk@example.com
Бабко,Марія,Євгенівна,Жінка,1993-03-22,Програміст,місто Свалява,"шосе Вапняне селище, буд. 236 кв. 1, Перещепине, 25605",+380 63 310-64-54,ievhenarkhymovych@example.org
Конопля,Святослава,Богданівна,Жінка,1947-10-06,Нотаріус,місто Старобільськ,"проспект Неплія, буд. 7 кв. 9, Бровари, 13955",+380 06 293-59-03,dmytro97@example.com
Матяш,Марина,Вікторівна,Жінка,1946-10-25,Диригент,хутір Чуднів,"площа Заводська 1-ша, буд. 69, Щолкіне, 41065",132 65 20,onysym12@example.org
Василашко,Христина,Вікторівна,Жінка,1985-10-28,Електромонтер,хутір Берестечко,"вулиця Таїрова, буд. 679, Часів Яр, 60750",+380 49 865-87-71,vashchukstefan@example.net
Токар,Пріска,Миколаївна,Жінка,1998-01-28,Маркетолог,місто Біляївка,"набережна Перший Кришталевий, буд. 51 кв. 928, Сорокине, 23014",+380 30 532 26 60,ebaranets@example.com
Вівчаренко,Сніжана,Миколаївна,Жінка,1990-07-16,Фотограф,село Старий Самбір,"узвіз Молоді, буд. 1, Вовчанськ, 64036",+380 98 702-64-91,panas33@example.com
Бабʼюк,Ольга,Євгенівна,Жінка,1994-03-18,Зоолог,село Радомишль,"сквер Вознесенський, буд. 453, Броди, 03700",+380 76 238 90 19,albinahaievskyi@example.com
Доценко,Святослава,Петрівна,Жінка,1948-10-14,Державний службовець,хутір Новогродівка,"вулиця Лядова, буд. 083, Мукачево, 69909",+380 (26) 286-78-28,dshamrai@example.org
Охріменко,Мілена,Миколаївна,Жінка,1985-06-29,Фольклорист,село Покровськ,"провулок Херсонський, буд. 524 кв. 11, Кіцмань, 13894",259-04-27,kabanenkoalina@example.net
Байрак,Камілла,Олегівна,Жінка,2001-11-11,Правник,село Сімферополь,"провулок Шишкіна 2-й, буд. 3, Бучач, 35490",+380 84 852-11-53,kolodubiefrem@example.org
Бабʼяк,Світлана,Андріївна,Жінка,1964-02-06,Краєзнавець,хутір Білицьке,"сквер Брестська, буд. 472, Батурин, 59407",589-94-70,irenakovalenko@example.org
Шило,Орина,Михайлівна,Жінка,2001-06-21,Біолог,місто Бар,"вулиця Слави, буд. 78 кв. 1, Новоселиця, 30279",092 132-80-55,frantsvitruk@example.net
Їжак,Ада,Богданівна,Жінка,1994-04-19,Архітектор,хутір Жмеринка,"парк Гагаріна, буд. 5, Іловайськ, 56284",+380 61 089-91-15,solomiiaabramenko@example.org
Титаренко,Єлисавета,Федорівна,Жінка,2001-11-15,Фотограф,селище Павлоград,"сквер Лядова, буд. 78 кв. 675, Володимир-Волинський, 95082",307-18-11,dzaika@example.net
Михайлюк,Вікторія,Михайлівна,Жінка,1940-09-02,Будник,селище Моршин,"шосе Онілової, буд. 456 кв. 05, Сарни, 10953",+380 (09) 149-48-76,ievhenbabii@example.com
Фесенко,Людмила,Максимівна,Жінка,2001-02-26,Намотувальник,селище Покров,"сквер Академіка Панкратової, буд. 61 кв. 011, Рені, 83288",088 384-32-40,hordiiieromenko@example.org
Корпанюк,Галина,Андріївна,Жінка,1989-10-17,Мікробіолог,селище Першотравенськ,"шосе Одеська, буд. 663 кв. 6, Чуднів, 55370",+380 35 173-55-14,ievhenduplii@example.com
Христич,Данна,Андріївна,Жінка,2002-04-27,Бібліотекар,село Заліщики,"проспект 3-тя Лінія 6-й ст. Люстдорфської дороги, буд. 790, Макіївка, 84528",+380 37 411-66-58,frantsrudyk@example.org
Ємельяненко,Ліза,Тарасівна,Жінка,1957-01-27,Агроном,місто Кролевець,"площа 6-та Суворовська, буд. 659 кв. 38, Рудки, 41664",+380 59 327 85 28,franchukiaroslava@example.com
Тимчук,Лілія,Максимівна,Жінка,1971-10-21,Публіцист,село Генічеськ,"набережна Олександра Тимошенка, буд. 655, Умань, 31197",051 918-40-00,zlatoslava51@example.org
Євтушенко,Людмила,Романівна,Жінка,2003-10-23,Парфюмер,хутір Попасна,"площа Сливова, буд. 899, Голубівка, 65149",+380 32 484 32 19,boryslavredko@example.net
Власенко,Святослава,Григоріївна,Жінка,2006-06-06,Письменник,селище Монастириська,"провулок Радісна, буд. 25 кв. 7, Моспине, 63754",+380 79 740 88 06,andriievychbohuslav@example.com
Іщак,Наталія,Романівна,Жінка,1940-06-28,Ґрунтознавець,селище Батурин,"парк Псковська, буд. 117, Козятин, 53509",146-54-46,serhiiieresko@example.org
Яковенко,Марта,Андріївна,Жінка,2007-08-23,Патологоанатом,село Чорнобиль,"площа Романтичний, буд. 375 кв. 64, Родинське, 46124",408 88 31,khrystyna86@example.org
Жук,Ада,Володимирівна,Жінка,2000-03-04,Клавішник,селище Тернівка ,"площа Кордонна, буд. 3, Миколаївка , 27708",+380 (31) 361-81-21,semenhunko@example.com
Дубенко,Орина,Вікторівна,Жінка,1980-12-11,Математик,місто Святогірськ,"провулок Махачкалинська, буд. 77 кв. 610, Угнів, 99822",042 265 43 63,iakymchukomelian@example.net
Ярема,Вікторія,Сергіївна,Жінка,1949-11-02,Програміст,село Кіцмань,"парк Проектна 1-ша, буд. 3 кв. 116, Новгород-Сіверський, 23896",098 622 26 10,marusiazhuk@example.com
Жаліло,Ольга,Андріївна,Жінка,1975-10-15,Математик,хутір Прилуки,"площа Хвойний, буд. 11, Хуст, 59111",+380 31 382 27 20,maksymmazepa@example.org
Оберемко,Дарина,Богданівна,Жінка,1948-10-02,Ювелір,селище Хотин,"сквер Черешнева, буд. 806 кв. 808, Подільськ, 25368",970 45 14,valentyn22@example.net
Дзиндра,Святослава,Євгенівна,Жінка,1958-09-05,Фізик,хутір Хотин,"шосе Братська, буд. 481, Ржищів, 61174",084 405 35 73,shmorhuntrokhym@example.org
Лубенець,Христина,Федорівна,Жінка,1989-02-15,Мовознавець,село Балаклія,"узвіз Глухий міст, буд. 482, Комарно, 22202",066 489-83-86,pavlykvitalii@example.com
Харченко,Ярина,Григоріївна,Жінка,2002-01-04,Мірошник,хутір Родинське,"сквер Виноградна 2-га, буд. 468 кв. 36, Буринь, 93862",+380 96 438-66-19,arkadii04@example.com
Бабʼяк,Ірена,Іванівна,Жінка,1971-01-30,Головний меркшейдер,селище Яворів,"площа Дальницька, буд. 763 кв. 718, Луцьк, 94950",+380 32 887 86 51,jokhrymovych@example.com
Рудик,Світлана,Вікторівна,Жінка,1952-05-03,Менеджер,селище Чоп,"проспект Лядова, буд. 5, Подільськ, 29187",+380 94 502 17 85,syrotenkosviatoslav@example.net
Ванченко,Мілена,Федорівна,Жінка,1960-08-03,Громадський діяч,місто Полонне,"сквер Лінія 52-га, буд. 62, Яготин, 09582",034 51 75,eduard99@example.org
Забашта,Володимира,Андріївна,Жінка,1995-01-12,Няня,хутір Голубівка,"шосе Олександра Невського, буд. 8 кв. 167, Благовіщенське, 52328",+380 99 353 26 45,boryslav37@example.com
Остапчук,Василина,Петрівна,Жінка,1971-02-25,Краєзнавець,місто Підгородне,"шосе Нафтовиків 3-й, буд. 1, Теплодар, 21956",+380 84 942 33 18,esirchenko@example.net
Журавель,Аніта,Дмитрівна,Жінка,1991-01-13,Сценарист,хутір Тлумач,"площа Балтський 8-й, буд. 71, Костянтинівка, 89625",472-80-56,phunko@example.org
Сірченко,Варвара,Петрівна,Жінка,1979-05-31,Сценарист,хутір Збараж,"сквер 11-та Суворовська, буд. 47, Глиняни, 90664",+380 (07) 196-75-60,stepan17@example.com
Чабан,Камілла,Григоріївна,Жінка,1989-12-23,Підприємець,селище Гребінка,"провулок Лінія 55-та, буд. 36, Арциз, 46525",027 938-20-57,anzhelaredko@example.org
Франко,Орися,Олександрівна,Жінка,1977-08-01,Євнух,селище Боково-Хрустальне,"проспект Мостовий, буд. 148, Дніпро , 09058",148 01 15,zakhar97@example.org
Вітер,Віолетта,Андріївна,Жінка,2004-05-16,Режисер,місто Буча,"парк Леонова, буд. 508, Сімферополь, 95003",065 923 86 01,prokhir20@example.net
Хоменко,Ярина,Павлівна,Жінка,1998-05-19,Стоматолог,село Керч,"шосе Житомирський 4-й, буд. 48, Богодухів, 89331",332-01-63,frantsaleksandrenko@example.org
Царенко,Клавдія,Іванівна,Жінка,1974-12-01,Медик,селище Чортків,"проспект Ільфа і Петрова, буд. 28 кв. 9, Бібрка, 18309",861-17-93,sovcharenko@example.com
Баштан,Софія,Вікторівна,Жінка,1993-10-16,Громадський діяч,місто Устилуг,"набережна Миколи Бажана, буд. 5, Славута, 90710",067 472-25-01,alinazasiadko@example.com
Приймак,Михайлина,Федорівна,Жінка,1951-08-04,Клавішник,місто Молочанськ,"парк Станційна 3-тя, буд. 4 кв. 260, Звенигородка, 61704",+380 (28) 881-13-74,maksym51@example.org
Оліфіренко,Валентина,Федорівна,Жінка,1995-02-05,Фармацевт,місто Хмельницький,"набережна Касима Юрія, буд. 1, Снятин, 84767",138-13-85,roman52@example.net
Шеремет,Орина,Миколаївна,Жінка,1999-05-16,Дипломат,місто Носівка,"проспект Миколи Боровського, буд. 722 кв. 69, Лохвиця, 85649",+380 90 098-06-26,arkadii40@example.net
Гузій,Розалія,Федорівна,Жінка,2004-09-26,Музикознавець,село Семенівка,"провулок Пілотна, буд. 9, Лутугине, 55023",225-05-86,korzhnadiia@example.com
Худобʼяк,Оксенія,Олегівна,Жінка,1991-12-21,Бібліограф,місто Новогродівка,"узвіз Мічманський 1-й, буд. 964, Коломия, 40184",+380 99 075-49-27,vtereshchenko@example.net
Дробʼязко,Еріка,Максимівна,Жінка,2003-08-09,Ді-джей,хутір Привілля,"проспект Басейний 4-й, буд. 803, Моршин, 17427",013 41 67,kashchenkoboleslav@example.net
Тарасенко,Богданна,Петрівна,Жінка,1963-09-06,Няня,селище Мукачево,"площа Сирітський, буд. 776, Новоселиця, 74987",+380 97 025 43 56,chaidamaka@example.org
Засядько,Емілія,Григоріївна,Жінка,1965-10-26,Мистецтвознавець,місто Вуглегірськ,"парк Клинова, буд. 222 кв. 9, Коломия, 68572",008 73 77,maksymperepelytsia@example.com
Давимука,Надія,Михайлівна,Жінка,1969-03-30,Епідеміолог,селище Горохів,"шосе Лузанівська, буд. 6, Приморськ (Україна), 75341",077 440 82 37,avhustyn80@example.org
Жученко,Любов,Михайлівна,Жінка,1968-03-20,Кінокритик,місто Нікополь,"набережна Восьмого березня 3-й, буд. 618 кв. 87, Житомир, 90859",094 260-80-32,liudmyla03@example.org
Карпенко,Віра,Максимівна,Жінка,1966-01-10,Педагог,селище Галич,"вулиця Чорноморський 6-й, буд. 489, Гірське, 62016",+380 75 517-84-13,omasliak@example.org
Щербак,Еріка,Андріївна,Жінка,1946-07-21,Бухгалтер,селище Гайворон,"набережна Сашка Хорошенка, буд. 731, Гребінка, 29732",+380 (27) 479-44-52,semen43@example.com
Чміль,Володимира,Вікторівна,Жінка,1948-01-27,Дипломат,село Болехів,"провулок Рекордний, буд. 668 кв. 15, Щастя , 23288",+380 57 538-68-75,veniiamyntereshchenko@example.com
Атаманюк,Володимира,Андріївна,Жінка,1993-04-23,Флорист,місто Костопіль,"набережна Красива, буд. 36, Черкаси, 57682",780 97 92,iazhazha@example.net
Чорновіл,Єлисавета,Володимирівна,Жінка,1951-09-09,Астронавт,селище Ананьїв,"сквер Лесі Українки, буд. 0, Буринь, 34466",+380 20 872-69-50,mykhailiukiustym@example.net
Єсипенко,Алла,Тарасівна,Жінка,1953-07-30,Графік,місто Сніжне,"проспект Рибальський, буд. 012 кв. 184, Тлумач, 89507",+380 38 523-07-16,darahanroksolana@example.org
Абраменко,Тетяна,Юріївна,Жінка,1982-03-07,Фольклорист,село Бердянськ,"парк Пересипська 8-ма, буд. 852 кв. 001, Кобеляки, 13912",728 69 27,markoderevianko@example.org
Дурдинець,Галина,Григоріївна,Жінка,1964-12-22,Філолог,місто Рені,"парк Китобійний 1-й, буд. 890, Лохвиця, 88798",614 10 64,irynazinchenko@example.net
Жарко,Розалія,Максимівна,Жінка,1987-08-03,Бізнесмен,селище Пологи ,"шосе Глухий міст, буд. 842 кв. 18, Ржищів, 84871",+380 18 010 01 14,ostap81@example.com
Ващенко,Василина,Павлівна,Жінка,1974-07-08,Математик,селище Ізяслав,"парк Черепанових 2-й, буд. 12 кв. 87, Часів Яр, 41519",+380 35 747-06-39,snizhanakorpaniuk@example.org
Оліфіренко,Лілія,Павлівна,Жінка,1943-03-30,Гицель,селище Єнакієве,"провулок Відважних, буд. 88 кв. 606, Білогірськ, 97469",996 43 13,leonid25@example.com
Ткаченко,Наталія,Павлівна,Жінка,1948-09-14,Пекар,селище Буськ,"сквер 5-та Лінія 6-й ст. Люстдорфської дороги, буд. 50 кв. 954, Світлодарськ, 82006",+380 (37) 271-69-57,zatovkaniukspas@example.com
Опанасенко,Дарина,Федорівна,Жінка,2003-07-29,Електротехнік,хутір Миколаївка ,"парк Учительський, буд. 2, Великі Мости, 30016",596 37 10,havriushenkovasylyna@example.com
Алексеєнко,Володимира,Богданівна,Жінка,1983-06-25,Електромонтажник,місто Березне,"проспект Балківська, буд. 0, Кам'янка (Черкаська область), 84148",+380 17 551-38-42,ihor62@example.net
Гоголь-Яновський,Єва,Миколаївна,Жінка,1988-08-16,Слідчий,місто Балта,"парк Олександра Вронського, буд. 7, Інкерман, 19107",+380 52 577 37 71,erikazinchuk@example.com
Прокопович,Марія,Іванівна,Жінка,1971-10-22,Музичний редактор,місто Чорнобиль,"набережна Державіна, буд. 8, Хмельницький, 36083",+380 02 044 01 63,qcherednyk@example.net
Приймак,Аніта,Максимівна,Жінка,1990-04-26,Кіноактор,хутір Заводське,"проспект Тепла, буд. 83, Феодосія, 33026",+380 72 496-14-73,vbaran@example.net
Лавренко,Богуслава,Тарасівна,Жінка,2005-07-15,Електрослюсар,хутір Білогірськ,"набережна Байкальська, буд. 518, Перещепине, 70478",+380 (04) 985-45-61,khoma31@example.com
Алексеєнко,Алла,Федорівна,Жінка,1950-09-30,Електрослюсар,хутір Зоринськ,"провулок Ланжерон, буд. 0, Лисичанськ, 33957",011 125 36 76,velychkooksana@example.com
Тичина,Марʼяна,Юріївна,Жінка,1958-11-01,Диригент,хутір Шостка,"проспект Дубовий гай, буд. 86 кв. 0, Конотоп, 94826",019 348-60-64,liubov73@example.com
Вітер,Ярина,Михайлівна,Жінка,1971-08-17,Електрик,місто Соледар,"площа Коцебу міст, буд. 668, Лебедин, 77560",+380 54 473 17 80,roman89@example.net
Єсипенко,Христина,Михайлівна,Жінка,1969-05-31,Фотограф,хутір Бунге ,"узвіз Деревообробний 1-й, буд. 21 кв. 9, Кальміуське, 67684",570 73 62,qkhrystenko@example.com
Радченко,Людмила,Сергіївна,Жінка,1984-07-20,Намотувальник,селище Моспине,"набережна Артилерійський 2-й, буд. 426 кв. 515, Первомайський , 03692",038 042-37-55,hunkodemian@example.com
Сімашкевич,Варвара,Олександрівна,Жінка,2003-09-19,Гірник,село Червоноград,"шосе Сільська, буд. 907, Мелітополь, 90755",256-84-94,idemianenko@example.com
Ющенко,Клавдія,Петрівна,Жінка,2008-05-29,Електромонтер,хутір Білозерське,"сквер Заводська 2-га, буд. 56 кв. 566, Молодогвардійськ, 19922",+380 89 326 34 73,itelychenko@example.org
Килимник,Одарка,Іванівна,Жінка,1946-07-24,Ботанік,село Ізюм,"вулиця 15-та Суворовська, буд. 64, Українка , 42200",+380 98 058-76-82,konoplenkodan@example.com
Ємець,Лілія,Петрівна,Жінка,1997-12-24,Епідеміолог,місто Вільнянськ,"парк Лузанівка, буд. 186, Чугуїв, 69111",+380 (34) 377-10-46,valentynneporozhnii@example.org
Тимчук,Лариса,Григоріївна,Жінка,1992-09-18,Євнух,місто Сімферополь,"парк Деревообробна, буд. 627, Великі Мости, 35190",059 906-48-92,gsheremet@example.net
Скорик,Дарина,Петрівна,Жінка,1966-09-26,Геофізик,село Васильків,"парк Елеваторна, буд. 301, Інкерман, 77616",+380 (97) 019-01-08,kalchenkoleon@example.net
Гайденко,Роксолана,Іванівна,Жінка,1941-05-06,Гицель,місто Корсунь-Шевченківський,"узвіз Юхима Геллера, буд. 25, Ржищів, 36353",+380 (62) 743-18-73,zishchak@example.org
Захарченко,Єлисавета,Андріївна,Жінка,1994-02-19,Інженер,хутір Зимогір'я,"шосе Вернидуба, буд. 27, Володимир-Волинський, 97615",005 432 41 47,ilchenkopavlo@example.net
Нестайко,Еріка,Олександрівна,Жінка,1978-10-27,Петрограф,хутір Глухів,"парк Керченський 3-й, буд. 455, Довжанськ, 17535",824 73 20,cazhazha@example.org
Іщенко,Варвара,Іванівна,Жінка,2008-08-11,Юрист,місто Нікополь,"узвіз Гагаріна, буд. 32 кв. 9, Борщів, 37986",+380 29 284-88-39,ihorparasiuk@example.net
Рябець,Розалія,Михайлівна,Жінка,1995-09-06,Письменник,селище Шпола,"провулок Горбатий міст, буд. 11, Новоселиця, 34545",+380 00 216-09-83,adamzabara@example.net
Фартушняк,Ганна,Володимирівна,Жінка,1967-02-21,Правник,місто Ланівці,"парк Отрадна, буд. 9, Хрестівка, 13163",002 381 40 56,mariiaartiushenko@example.com
Терещук,Світлана,Іванівна,Жінка,1985-03-07,Промисловець,хутір Краматорськ,"узвіз Проїзний 1-й, буд. 3, Конотоп, 50254",014 006 75 12,xiushchenko@example.com
Данчук,Ганна,Миколаївна,Жінка,1976-07-19,Епідеміолог,село Ворожба,"сквер Мала, буд. 0, Луганськ, 25139",+380 35 911-10-98,ostapzabila@example.com
Баранник,Еріка,Володимирівна,Жінка,1960-03-23,Мірошник,місто Канів,"провулок Іванівський переїзд, буд. 0, Красногорівка, 90711",090 35 57,zlatoslavariaboshapka@example.org
Оберемко,Емілія,Дмитрівна,Жінка,1990-01-29,Композитор,хутір Перевальськ,"набережна Деревообробний 4-й, буд. 926, Вознесенськ, 62605",728 93 65,cchupryna@example.com
Христич,Юстина,Миколаївна,Жінка,1941-04-07,Прокурор,хутір Кіцмань,"парк Ялинкова, буд. 958, Бахмут, 10023",+380 (16) 935-45-58,olifirenkohanna@example.net
Чайка,Амалія,Григоріївна,Жінка,1942-07-21,Візажист,місто Гайсин,"провулок Нафтовиків 1-й, буд. 86, Хрестівка, 24398",+380 96 395-19-32,hryhoriiskoryk@example.org
Стус,Богданна,Євгенівна,Жінка,2000-08-15,Вчитель,селище Мостиська,"узвіз Чернівецький, буд. 5 кв. 91, Житомир, 60687",097-15-24,deinekodan@example.org
Дробаха,Світлана,Євгенівна,Жінка,1998-11-26,Водій,село Канів,"площа Бісквітний, буд. 130, Гуляйполе, 35155",207-19-12,vkhudobiak@example.com
Олійник,Єлисавета,Миколаївна,Жінка,2004-06-30,Фермер,хутір Армянськ,"площа Західний 1-й, буд. 1, Яремче, 67816",043 436-56-15,lukian84@example.net
Вакарчук,Наталія,Олегівна,Жінка,1940-06-22,Футболіст,село Вільнянськ,"сквер Чорноморський 12-й, буд. 503, Перевальськ, 04756",+380 49 012 04 29,emiliiakhrystych@example.net
Оніщук,Богданна,Юріївна,Жінка,1982-12-31,Гінеколог,село Золоте,"сквер Левітана, буд. 59 кв. 6, Бердянськ, 15678",+380 (10) 302-92-27,tshtokalo@example.com
Пилипенко,Маруся,Тарасівна,Жінка,1977-10-18,Юрист,хутір Нова Одеса,"набережна Роздольна, буд. 438, Ізмаїл, 67263",+380 (24) 826-15-05,orestiemets@example.com
Медведенко,Ярослава,Максимівна,Жінка,1969-01-27,Детектив,хутір Лебедин,"узвіз Жоліо-Кюрі, буд. 9, Ладижин, 33671",098 351 66 13,kyrylokarpa@example.com
Калениченко,Мілена,Романівна,Жінка,1972-09-21,Електромонтер,хутір Кальміуське,"проспект Прирейкова, буд. 71 кв. 6, Рені, 67863",451-05-89,riukhymenko@example.org
Давимука,Анастасія,Юріївна,Жінка,1968-08-24,Кінорежисер,село Тетіїв,"парк Грецький, буд. 328 кв. 80, Бібрка, 31425",048 588-31-54,babiikostiantyn@example.com
Михайличенко,Алла,Григоріївна,Жінка,1973-07-23,Державний службовець,місто Христинівка,"парк Набережна, буд. 0 кв. 7, Мирноград, 15619",975-25-43,sholoborodko@example.com
Рябець,Ліза,Григоріївна,Жінка,1972-03-15,Головний меркшейдер,місто Яготин,"сквер Бібліотечна, буд. 4 кв. 3, Новоград-Волинський, 99791",175 12 64,olehhrytsenko@example.com
Остапчук,Пріска,Михайлівна,Жінка,1995-01-11,М'ясник,хутір Гайворон,"узвіз Торгова, буд. 302, Соснівка , 33692",003 379 94 79,sbabko@example.net
Єсипенко,Ірина,Юріївна,Жінка,1988-11-10,Різноробочий,селище Дебальцеве,"вулиця Нахімова, буд. 2, Ржищів, 28431",+380 (22) 277-71-41,gbabych@example.org
Гавришкевич,Орися,Павлівна,Жінка,1946-12-11,Скульптор,село Ровеньки,"парк Курортний 6-й, буд. 11, Бережани, 22983",473 33 81,havrylyshynhlib@example.com
Авдєєнко,Михайлина,Андріївна,Жінка,1959-11-02,Філолог,місто Конотоп,"сквер Килимовий, буд. 995 кв. 6, Полтава, 08283",+380 (77) 326-76-70,fbaranets@example.org
Андрейко,Ірена,Іванівна,Жінка,1941-06-30,Секретар,хутір Ворожба,"узвіз Богдана Хмельницького, буд. 997 кв. 703, Вінниця, 10486",+380 (02) 886-29-01,fiesypenko@example.net
Барабаш,Віра,Сергіївна,Жінка,1975-02-13,Провізор,село Олешки,"набережна Дніпропетровська дорога, буд. 39, Добромиль, 21156",+380 55 558-88-52,olesavdieienko@example.net
Онуфрієнко,Марʼяна,Григоріївна,Жінка,1945-06-12,Літературознавець,хутір Мостиська,"шосе Героїв прикордонників, буд. 4, Ананьїв, 84733",+380 90 316-53-81,bohuslavadanko@example.com
Єресько,Ярослава,Євгенівна,Жінка,1944-05-21,Каскадер,хутір Білопілля,"провулок Махачкалинська, буд. 6 кв. 616, Стрий, 52636",+380 08 949 52 15,fpanchuk@example.com
Тригуб,Оксенія,Андріївна,Жінка,1983-04-23,Стоматолог,хутір Ржищів,"узвіз Чорноморський 13-й, буд. 81, Золотоноша, 13756",307-60-71,trokhym89@example.com
Гаврилюк,Соломія,Дмитрівна,Жінка,1976-10-31,Стоматолог,хутір Довжанськ,"проспект Студентський 1-й, буд. 8, Болград, 28096",276 18 16,kabanenkodanna@example.com
Бараник,Данна,Дмитрівна,Жінка,1973-05-22,М'ясник,селище Валки ,"площа Єрмака, буд. 307, Бобринець, 71977",437-24-04,zynoviiliashko@example.com
Архипенко,Надія,Олександрівна,Жінка,1959-02-24,Головний меркшейдер,хутір Жмеринка,"провулок Нечипуренка, буд. 52 кв. 48, Одеса, 46168",086 398-79-08,aleksiukfeofan@example.net
